B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,geoid
10948.0,10204.0,6.0,5.0,229.0,504.0,05011
20163.0,19076.0,0.0,172.0,287.0,628.0,05113
24106.0,23893.0,18.0,59.0,41.0,95.0,05103
12417.0,12363.0,0.0,17.0,23.0,14.0,05081
43759.0,42871.0,0.0,189.0,247.0,452.0,05091
78804.0,76020.0,0.0,561.0,654.0,1569.0,05145
64148.0,57816.0,32.0,618.0,2519.0,3163.0,06033
3664.0,3574.0,0.0,23.0,34.0,33.0,29129
18293.0,18021.0,0.0,87.0,130.0,55.0,29229
239164.0,225679.0,354.0,1756.0,7009.0,4366.0,29047
15504.0,15190.0,7.0,157.0,67.0,83.0,29065
23102.0,21551.0,47.0,68.0,498.0,938.0,29195
2040.0,2005.0,0.0,10.0,21.0,4.0,29227
10039.0,9744.0,0.0,62.0,42.0,191.0,29079
20137.0,19795.0,1.0,202.0,119.0,20.0,29141
6315.0,6262.0,0.0,16.0,3.0,34.0,29179
998684.0,918522.0,1231.0,6319.0,38305.0,34307.0,29189
31527.0,30818.0,1.0,117.0,398.0,193.0,29209
35493.0,33557.0,0.0,128.0,549.0,1259.0,29009
176515.0,163375.0,129.0,1336.0,4158.0,7517.0,29019
76740.0,73891.0,7.0,524.0,1215.0,1103.0,29051
24280.0,23834.0,34.0,193.0,96.0,123.0,29055
10221.0,10091.0,0.0,14.0,99.0,17.0,29093
15076.0,14971.0,0.0,1.0,24.0,80.0,29117
15958.0,15695.0,28.0,36.0,111.0,88.0,29135
17031.0,16903.0,0.0,48.0,17.0,63.0,29155
42371.0,39482.0,20.0,166.0,895.0,1808.0,29159
8246.0,8166.0,4.0,67.0,7.0,2.0,29203
24945.0,24499.0,29.0,108.0,213.0,96.0,29175
30428.0,29393.0,0.0,70.0,170.0,795.0,29069
102781.0,100800.0,82.0,313.0,1085.0,501.0,29071
10113.0,9995.0,8.0,31.0,43.0,36.0,29089
692003.0,645682.0,1206.0,4646.0,17064.0,23405.0,29095
25049.0,24668.0,2.0,155.0,170.0,54.0,29131
4815.0,4761.0,0.0,16.0,38.0,0.0,29171
54720.0,52359.0,104.0,344.0,774.0,1139.0,29213
89076.0,84941.0,24.0,601.0,1157.0,2353.0,29021
9049.0,8889.0,5.0,39.0,33.0,83.0,29025
102678.0,99322.0,205.0,883.0,1216.0,1052.0,29037
20475.0,20108.0,21.0,118.0,125.0,103.0,29049
16499.0,16279.0,0.0,7.0,82.0,131.0,29059
9368.0,9258.0,0.0,41.0,67.0,2.0,29085
55563.0,54606.0,14.0,164.0,507.0,272.0,29113
8654.0,8577.0,0.0,31.0,17.0,29.0,29137
58202.0,55933.0,92.0,297.0,766.0,1114.0,29145
18489.0,18193.0,10.0,67.0,57.0,162.0,29163
389985.0,371371.0,567.0,2351.0,7551.0,8145.0,29183
78324.0,75637.0,3.0,408.0,567.0,1709.0,29031
6061.0,6027.0,5.0,10.0,13.0,6.0,29205
38082.0,37571.0,39.0,113.0,234.0,125.0,29225
5270.0,5210.0,5.0,15.0,19.0,21.0,29005
16374.0,16194.0,0.0,49.0,97.0,34.0,29013
18989.0,18744.0,0.0,103.0,89.0,53.0,29015
6197.0,6177.0,0.0,7.0,13.0,0.0,29035
7590.0,7489.0,0.0,34.0,39.0,28.0,29057
12186.0,12007.0,6.0,94.0,38.0,41.0,29115
40102.0,39377.0,28.0,205.0,221.0,271.0,29091
53689.0,51168.0,163.0,836.0,648.0,874.0,29101
35507.0,34802.0,69.0,280.0,196.0,160.0,29105
8884.0,8754.0,0.0,77.0,30.0,23.0,29125
44789.0,41546.0,10.0,755.0,674.0,1804.0,29161
98824.0,91970.0,214.0,1387.0,2504.0,2749.0,29165
66342.0,65275.0,13.0,380.0,237.0,437.0,29187
311273.0,287792.0,281.0,2155.0,9365.0,11680.0,29510
17403.0,17114.0,0.0,122.0,113.0,54.0,29003
42733.0,42145.0,17.0,119.0,182.0,270.0,29023
48828.0,45464.0,0.0,316.0,1050.0,1998.0,48013
14966.0,14079.0,0.0,47.0,282.0,558.0,48353
4098.0,2504.0,0.0,84.0,231.0,1279.0,48229
11586.0,10499.0,29.0,52.0,438.0,568.0,48475
66645.0,62151.0,0.0,255.0,1304.0,2935.0,48203
2123.0,1968.0,0.0,1.0,32.0,122.0,48327
25066.0,23253.0,3.0,148.0,854.0,808.0,48149
527057.0,452972.0,1619.0,8393.0,29434.0,34639.0,48491
21571.0,20390.0,17.0,165.0,485.0,514.0,48233
12424.0,11865.0,8.0,114.0,109.0,328.0,48343
84047.0,81281.0,40.0,194.0,796.0,1736.0,48361
7802.0,6629.0,17.0,27.0,306.0,823.0,48495
4602523.0,3337084.0,16987.0,48681.0,427396.0,772375.0,48201
45750.0,42549.0,61.0,173.0,1380.0,1587.0,48053
26208.0,23236.0,1.0,166.0,1035.0,1770.0,48171
2586552.0,1928849.0,6551.0,22449.0,185367.0,443336.0,48113
662.0,644.0,0.0,3.0,1.0,14.0,48311
18114.0,16908.0,0.0,126.0,239.0,841.0,48503
163475.0,154169.0,387.0,1039.0,2761.0,5119.0,48251
36240.0,33299.0,57.0,255.0,882.0,1747.0,48223
10348.0,8224.0,0.0,18.0,483.0,1623.0,48357
3733.0,3457.0,0.0,8.0,77.0,191.0,48275
248429.0,224093.0,291.0,2350.0,6278.0,15417.0,48309
4233.0,3092.0,0.0,20.0,47.0,1074.0,48095
2055.0,1961.0,0.0,1.0,42.0,51.0,48137
18270.0,17424.0,0.0,163.0,324.0,359.0,48133
2234.0,1850.0,0.0,51.0,129.0,204.0,48243
5282.0,5047.0,0.0,26.0,36.0,173.0,48247
554445.0,471696.0,1760.0,7229.0,26555.0,47205.0,48339
10663.0,9715.0,0.0,51.0,501.0,396.0,48127
272053.0,196544.0,305.0,3804.0,20344.0,51056.0,48479
1916.0,1874.0,0.0,3.0,32.0,7.0,48011
7787.0,6207.0,1.0,16.0,368.0,1195.0,48069
31425.0,29096.0,109.0,346.0,827.0,1047.0,48273
39571.0,35700.0,40.0,228.0,834.0,2769.0,48097
5861.0,5642.0,0.0,41.0,84.0,94.0,48107
3883.0,3684.0,10.0,14.0,38.0,137.0,48151
11355.0,10639.0,0.0,32.0,390.0,294.0,48131
11279.0,10455.0,16.0,157.0,287.0,364.0,48031
35504.0,34331.0,24.0,201.0,388.0,560.0,48241
255210.0,221965.0,922.0,1550.0,10729.0,20044.0,48245
3675.0,2858.0,94.0,85.0,183.0,455.0,48271
2090.0,2020.0,0.0,18.0,33.0,19.0,48359
13262.0,11785.0,7.0,96.0,433.0,941.0,48279
3469.0,3032.0,2.0,26.0,32.0,377.0,48295
8098.0,7780.0,0.0,43.0,110.0,165.0,48307
4161.0,3537.0,0.0,211.0,60.0,353.0,48319
2216.0,2051.0,0.0,45.0,20.0,100.0,48125
16952.0,15428.0,8.0,129.0,363.0,1024.0,48287
2019977.0,1663674.0,11207.0,21109.0,125950.0,198037.0,48439
57863.0,53720.0,40.0,487.0,1212.0,2404.0,48001
168838.0,153226.0,144.0,1029.0,5183.0,9256.0,48139
14820.0,13323.0,0.0,122.0,252.0,1123.0,48239
51365.0,47396.0,15.0,380.0,1271.0,2303.0,48265
24664.0,23218.0,74.0,239.0,375.0,758.0,48331
13495.0,12239.0,4.0,87.0,314.0,851.0,48093
17299.0,16190.0,3.0,123.0,323.0,660.0,48145
7180.0,6413.0,0.0,7.0,139.0,621.0,48047
29565.0,26305.0,0.0,57.0,1097.0,2106.0,48015
595.0,496.0,0.0,0.0,41.0,58.0,48261
21022.0,18717.0,5.0,137.0,673.0,1490.0,48089
178351.0,165695.0,503.0,3079.0,4605.0,4469.0,31153
2042.0,1994.0,0.0,17.0,11.0,20.0,31015
5574.0,5482.0,0.0,7.0,76.0,9.0,31059
691.0,690.0,0.0,0.0,1.0,0.0,31091
17127.0,16722.0,52.0,87.0,135.0,131.0,31159
3571.0,3519.0,4.0,14.0,27.0,7.0,31181
8067.0,7872.0,0.0,19.0,98.0,78.0,31023
418.0,416.0,0.0,0.0,0.0,2.0,31005
21595.0,21160.0,0.0,87.0,174.0,174.0,31067
6552.0,6319.0,0.0,19.0,57.0,157.0,31099
35164.0,32421.0,100.0,84.0,868.0,1691.0,31119
9120.0,8950.0,0.0,46.0,36.0,88.0,31137
9367.0,9046.0,0.0,59.0,122.0,140.0,31179
8460.0,8320.0,3.0,19.0,85.0,33.0,31107
7803.0,7585.0,0.0,7.0,44.0,167.0,31121
2676.0,2619.0,0.0,23.0,13.0,21.0,31133
822.0,817.0,0.0,0.0,0.0,5.0,31183
5746.0,5138.0,0.0,24.0,245.0,339.0,32015
981.0,866.0,0.0,0.0,23.0,92.0,32009
8843.0,8707.0,0.0,20.0,62.0,54.0,29033
8302.0,8213.0,8.0,16.0,23.0,42.0,29061
4456.0,4404.0,4.0,10.0,28.0,10.0,29087
28672.0,28390.0,0.0,33.0,122.0,127.0,29127
13619.0,13545.0,0.0,56.0,16.0,2.0,29151
13693.0,13521.0,0.0,96.0,53.0,23.0,29181
33908.0,33187.0,8.0,121.0,423.0,169.0,29219
24931.0,24771.0,0.0,102.0,13.0,45.0,29221
84275.0,81932.0,123.0,623.0,749.0,848.0,29043
12564.0,12464.0,1.0,11.0,48.0,40.0,29063
8554.0,8384.0,0.0,45.0,65.0,60.0,29081
32589.0,32088.0,0.0,53.0,273.0,175.0,29107
25325.0,24146.0,36.0,101.0,197.0,845.0,29001
4898.0,4884.0,0.0,4.0,10.0,0.0,29199
6317.0,5619.0,46.0,76.0,355.0,221.0,29211
6800.0,6747.0,0.0,15.0,7.0,31.0,29045
119238.0,112800.0,240.0,1293.0,1567.0,3338.0,29097
10027.0,9900.0,0.0,38.0,18.0,71.0,29111
22827.0,20843.0,40.0,159.0,289.0,1496.0,29119
19146.0,18811.0,16.0,111.0,74.0,134.0,29157
31549.0,31172.0,31.0,117.0,176.0,53.0,29167
22825.0,22447.0,0.0,191.0,129.0,58.0,29177
16439.0,16090.0,8.0,107.0,122.0,112.0,30041
5789.0,5611.0,0.0,80.0,58.0,40.0,30015
19358.0,18646.0,9.0,208.0,216.0,279.0,30053
16246.0,15735.0,0.0,93.0,264.0,154.0,30067
777.0,770.0,0.0,0.0,7.0,0.0,30103
6727.0,6634.0,0.0,30.0,60.0,3.0,30005
3653.0,3613.0,0.0,8.0,13.0,19.0,30097
6080.0,5921.0,7.0,57.0,66.0,29.0,30099
1342.0,1317.0,0.0,0.0,12.0,13.0,30079
13699.0,13382.0,3.0,116.0,50.0,148.0,30035
2838.0,2778.0,0.0,21.0,0.0,39.0,30025
724.0,712.0,0.0,1.0,11.0,0.0,30037
34814.0,33724.0,0.0,232.0,345.0,513.0,30093
9410.0,9208.0,0.0,62.0,64.0,76.0,30095
11778.0,11604.0,11.0,92.0,39.0,32.0,30043
3269.0,3225.0,0.0,10.0,9.0,25.0,30039
2149.0,2046.0,0.0,43.0,19.0,41.0,30107
8218.0,7830.0,16.0,28.0,42.0,302.0,30057
3574.0,3476.0,0.0,15.0,43.0,40.0,30091
1318.0,1315.0,0.0,3.0,0.0,0.0,30011
13376.0,13174.0,0.0,22.0,57.0,123.0,30003
29774.0,28883.0,2.0,301.0,296.0,292.0,30047
67077.0,65556.0,59.0,514.0,548.0,400.0,30049
6044.0,5927.0,0.0,28.0,49.0,40.0,30073
157816.0,153122.0,125.0,1225.0,1924.0,1420.0,30111
115983.0,111229.0,88.0,1285.0,1640.0,1741.0,30063
41902.0,40749.0,28.0,393.0,444.0,288.0,30081
7532.0,7358.0,0.0,36.0,77.0,61.0,30105
81746.0,78667.0,156.0,1185.0,1119.0,619.0,30013
11273.0,11091.0,0.0,23.0,77.0,82.0,30027
1141.0,1137.0,0.0,4.0,0.0,0.0,30033
4211.0,4092.0,0.0,0.0,116.0,3.0,30061
432.0,426.0,0.0,0.0,6.0,0.0,30069
6861.0,6769.0,0.0,61.0,22.0,9.0,30077
11521.0,11225.0,0.0,54.0,145.0,97.0,30089
1175.0,1104.0,0.0,34.0,15.0,22.0,30109
104729.0,100265.0,15.0,885.0,1494.0,2070.0,30031
67046.0,62434.0,113.0,461.0,1261.0,2777.0,48409
132475.0,124402.0,145.0,947.0,2975.0,4006.0,48381
5962.0,5260.0,2.0,22.0,150.0,528.0,48411
3061.0,2679.0,0.0,6.0,166.0,210.0,48413
12131.0,10800.0,259.0,48.0,514.0,510.0,48507
21807.0,19141.0,93.0,23.0,847.0,1703.0,48057
1408.0,1340.0,3.0,14.0,20.0,31.0,48155
7531.0,7285.0,0.0,49.0,67.0,130.0,48175
8269.0,7875.0,8.0,28.0,136.0,222.0,48193
8558.0,8038.0,0.0,7.0,134.0,379.0,48335
32730.0,25715.0,387.0,203.0,1636.0,4789.0,48449
19941.0,18967.0,42.0,11.0,167.0,754.0,48285
12615.0,11231.0,0.0,70.0,455.0,859.0,48445
64639.0,59362.0,180.0,427.0,1494.0,3176.0,48497
36743.0,32232.0,82.0,357.0,1527.0,2545.0,48321
15797.0,13259.0,41.0,336.0,742.0,1419.0,48371
93642.0,83462.0,423.0,1260.0,3950.0,4547.0,48397
136348.0,125785.0,381.0,2052.0,3695.0,4435.0,48441
1567.0,1548.0,0.0,13.0,6.0,0.0,48447
71539.0,64754.0,108.0,684.0,1727.0,4266.0,48471
43815.0,41817.0,35.0,357.0,543.0,1063.0,48499
24763.0,22650.0,15.0,326.0,782.0,990.0,48007
2904.0,2464.0,3.0,30.0,76.0,331.0,48079
3275.0,3152.0,0.0,16.0,86.0,21.0,48081
75389.0,66454.0,1436.0,2587.0,2816.0,2096.0,48099
4061.0,3424.0,0.0,8.0,88.0,541.0,48211
21801.0,16164.0,19.0,191.0,1300.0,4127.0,48341
120899.0,100528.0,298.0,630.0,5444.0,13999.0,48375
8327.0,8008.0,0.0,0.0,98.0,221.0,48405
3311.0,3208.0,0.0,11.0,50.0,42.0,48417
63894.0,43323.0,0.0,1319.0,5688.0,13564.0,48427
3634.0,3234.0,6.0,10.0,117.0,267.0,48461
37834.0,35739.0,29.0,222.0,658.0,1186.0,48049
