B19013_001E,geoid
46650.0,17051
57308.0,17107
44090.0,17165
89427.0,17097
47481.0,17127
52373.0,17017
53632.0,18069
54576.0,18181
47658.0,18075
60404.0,18145
50245.0,18153
53130.0,18157
98173.0,18057
63431.0,18005
52034.0,18049
56789.0,18113
55630.0,18019
81933.0,18063
44356.0,18053
51250.0,18071
49543.0,18119
61741.0,18183
54286.0,18023
50375.0,18161
68658.0,18029
53610.0,18093
52348.0,18123
64196.0,18129
54806.0,18015
52874.0,18045
51190.0,18149
51613.0,18055
67729.0,19011
63031.0,19061
52448.0,19151
48591.0,19177
49255.0,19003
52055.0,19009
63404.0,19051
58427.0,19093
58269.0,19135
69844.0,19167
52323.0,19025
53963.0,19033
54196.0,19083
55205.0,19117
52932.0,19147
53501.0,19087
58952.0,19099
53852.0,19157
53152.0,19043
70395.0,19017
51563.0,19063
61761.0,19081
55967.0,19097
49564.0,19111
77048.0,19181
54825.0,19123
50521.0,19041
63750.0,19055
37519.0,13005
38857.0,13025
32229.0,13017
44151.0,13033
56235.0,13047
47096.0,13053
36807.0,13055
82339.0,13073
41481.0,13087
48336.0,13115
107218.0,13117
50563.0,13137
43204.0,13147
42441.0,13185
49504.0,13191
37121.0,13199
54754.0,13207
51606.0,13237
36681.0,13261
37446.0,13265
37203.0,13301
44768.0,19185
61183.0,19163
54754.0,20181
60124.0,20193
55658.0,20127
49415.0,20163
53348.0,20025
49865.0,20077
46338.0,20111
49917.0,20145
54821.0,20033
48317.0,20063
57982.0,20079
52599.0,20093
59089.0,20113
31893.0,05041
35405.0,05049
36059.0,05061
44777.0,05051
39962.0,05093
43462.0,05115
42660.0,05117
44663.0,05139
32845.0,05147
44483.0,05023
46684.0,05025
34109.0,05067
42860.0,05057
34671.0,05135
38188.0,05137
50451.0,05143
42260.0,05005
44744.0,05003
47286.0,05031
47056.0,05055
48667.0,05105
40921.0,05111
47704.0,05133
46417.0,05013
41620.0,05019
39993.0,05075
38468.0,05095
42802.0,05029
38082.0,05101
46696.0,05001
59094.0,05085
46110.0,05015
35348.0,05123
51749.0,05119
53672.0,06047
48820.0,06043
45507.0,06049
99716.0,06013
57316.0,06027
60704.0,06099
74624.0,06083
44514.0,06103
62260.0,06051
86958.0,06069
72624.0,13029
43471.0,13035
56951.0,13039
46283.0,13079
30640.0,13099
40859.0,13069
75913.0,13077
52625.0,13123
61599.0,13297
37838.0,13317
39302.0,13091
45865.0,13129
82740.0,13057
90145.0,13113
69280.0,13177
67631.0,13227
52129.0,13133
41854.0,13075
66281.0,13085
69673.0,13121
62409.0,15001
85857.0,15003
83554.0,15007
69375.0,15005
52935.0,16031
50053.0,16063
64475.0,16085
57215.0,16041
58107.0,16069
57242.0,16055
53370.0,16067
52919.0,16083
56694.0,16013
59646.0,16015
42132.0,16023
47204.0,16047
66293.0,16001
54167.0,16007
55472.0,16011
39688.0,16025
43915.0,16035
63048.0,16051
52426.0,41039
57962.0,51181
80026.0,51043
43207.0,51117
62711.0,51015
93994.0,51075
57895.0,51113
68948.0,51161
44434.0,51025
47227.0,51131
54600.0,51163
29000.0,51720
54550.0,51570
48531.0,51021
71110.0,51023
37500.0,51520
57463.0,51830
44835.0,51035
67151.0,06067
83377.0,06017
71015.0,06053
112449.0,06075
78980.0,06073
49687.0,06107
48041.0,06023
63750.0,06003
57585.0,06039
82234.0,06087
40846.0,06105
67005.0,06065
63362.0,06071
115246.0,06041
89691.0,06061
54667.0,06089
81472.0,06095
59401.0,06011
42151.0,28029
44625.0,28049
45754.0,28145
39246.0,28139
39840.0,28035
50272.0,28071
50441.0,28087
27313.0,28157
32116.0,28065
34943.0,28123
33279.0,28163
29854.0,28011
31784.0,28113
45483.0,28131
31103.0,28069
30838.0,28133
29936.0,28001
67038.0,28033
74477.0,42045
49089.0,42111
43636.0,29123
43276.0,29217
44232.0,29147
46738.0,29041
34316.0,29223
44139.0,29201
44125.0,29011
39365.0,29039
54885.0,29073
42746.0,29121
33601.0,29149
60129.0,29186
37425.0,29067
45795.0,29083
44742.0,29109
53492.0,29169
35067.0,29215
56938.0,29027
52735.0,29053
47790.0,29075
48495.0,51191
51792.0,51139
100939.0,51510
56287.0,51650
120071.0,51013
31956.0,51027
111108.0,51179
47250.0,51760
51954.0,51057
42099.0,51185
88046.0,51685
49487.0,51183
81493.0,51683
57165.0,51775
40573.0,51037
50300.0,51081
72003.0,53067
53423.0,53013
17379.0,72059
17319.0,72121
19030.0,72067
15399.0,72141
20442.0,72054
15037.0,72099
18189.0,72123
35357.0,29133
31947.0,29153
44158.0,29017
67204.0,47165
56321.0,47169
32167.0,47027
61456.0,17139
47492.0,17149
38056.0,17151
55179.0,17163
52953.0,17173
52797.0,17019
63009.0,17013
52092.0,17053
79394.0,17089
96563.0,17093
61655.0,17009
47519.0,17121
48417.0,17125
52700.0,17075
48500.0,17025
44076.0,17059
85747.0,17133
50625.0,17181
54489.0,17201
34640.0,17153
52357.0,17169
53647.0,17045
69272.0,17007
57436.0,17011
46202.0,17029
49779.0,17033
63638.0,17155
55587.0,17039
58194.0,17103
55159.0,17117
48894.0,17159
61763.0,17189
82215.0,41067
54886.0,41007
41165.0,42023
89139.0,42017
63897.0,42077
46680.0,42031
54776.0,42059
53473.0,42079
50550.0,42037
47603.0,42065
63718.0,42099
47407.0,42113
73521.0,44003
85531.0,44009
44226.0,45071
40900.0,45027
45661.0,45085
35803.0,45011
38448.0,45031
65361.0,45091
36883.0,45021
45601.0,45053
32371.0,45061
38741.0,45001
53862.0,46085
65437.0,46039
49633.0,06021
52537.0,06007
57848.0,06031
55359.0,06063
73518.0,06079
53969.0,06019
53350.0,06029
90234.0,06059
88131.0,06111
63158.0,06009
59050.0,06101
122641.0,06081
60108.0,06109
64432.0,06077
62772.0,06005
51155.0,08095
52221.0,08007
68592.0,08031
41731.0,08061
38137.0,08055
35878.0,08009
76429.0,08047
49349.0,08063
56577.0,08051
62188.0,08079
66417.0,08091
43150.0,08115
74150.0,08123
53119.0,08027
30965.0,08023
119730.0,08035
50565.0,08065
68685.0,08067
78935.0,08097
39123.0,08105
30900.0,08011
42135.0,08025
54625.0,08111
71881.0,08069
53318.0,08075
67038.0,08113
66592.0,08119
99199.0,08039
41817.0,08071
47258.0,08073
79277.0,08117
37515.0,08003
45269.0,08029
49409.0,08043
50489.0,08085
53682.0,08087
38571.0,08109
41929.0,08099
50094.0,08121
71198.0,08049
38169.0,08089
96416.0,08014
63162.0,10005
86420.0,11001
69905.0,09009
75148.0,09003
51657.0,47157
43305.0,47077
49139.0,47089
49370.0,47153
42637.0,47017
60388.0,47037
41034.0,47135
49167.0,47121
37905.0,47075
57541.0,47125
