B25033_001E,B25033_002E,B25033_003E,B25033_004E,B25033_005E,B25033_006E,B25033_007E,B25033_008E,B25033_009E,B25033_010E,B25033_011E,B25033_012E,B25033_013E,geoid
1875.0,1433.0,1367.0,4.0,0.0,62.0,0.0,442.0,372.0,37.0,18.0,15.0,0.0,31049
886.0,620.0,580.0,0.0,0.0,40.0,0.0,266.0,239.0,2.0,13.0,12.0,0.0,31113
4945.0,3974.0,3883.0,3.0,3.0,85.0,0.0,971.0,798.0,49.0,124.0,0.0,0.0,31169
29887.0,22104.0,20956.0,47.0,27.0,1054.0,20.0,7783.0,4653.0,2020.0,915.0,195.0,0.0,31001
5205.0,4000.0,3966.0,5.0,0.0,29.0,0.0,1205.0,1010.0,98.0,86.0,11.0,0.0,31011
1290.0,984.0,870.0,2.0,0.0,112.0,0.0,306.0,240.0,11.0,18.0,37.0,0.0,31149
2981.0,2302.0,2168.0,3.0,0.0,131.0,0.0,679.0,622.0,48.0,8.0,1.0,0.0,31163
6405.0,5090.0,4832.0,6.0,6.0,246.0,0.0,1315.0,963.0,119.0,185.0,48.0,0.0,31093
1979.0,1391.0,1332.0,0.0,0.0,59.0,0.0,588.0,483.0,15.0,27.0,63.0,0.0,31073
919409.0,517785.0,505888.0,2132.0,4498.0,5120.0,147.0,401624.0,219770.0,55528.0,122490.0,3604.0,232.0,47157
27501.0,20646.0,15319.0,129.0,0.0,5183.0,15.0,6855.0,3318.0,1298.0,236.0,2003.0,0.0,47077
51343.0,37551.0,29066.0,19.0,33.0,8421.0,12.0,13792.0,5907.0,1727.0,1587.0,4550.0,21.0,47089
14498.0,11036.0,8855.0,231.0,0.0,1946.0,4.0,3462.0,1533.0,450.0,171.0,1295.0,13.0,47153
27102.0,19240.0,16282.0,18.0,4.0,2936.0,0.0,7862.0,4719.0,630.0,619.0,1894.0,0.0,47017
662556.0,369384.0,345218.0,7020.0,10601.0,6475.0,70.0,293172.0,93164.0,44940.0,147582.0,7261.0,225.0,47037
7762.0,6239.0,4408.0,2.0,0.0,1829.0,0.0,1523.0,904.0,60.0,98.0,461.0,0.0,47135
11851.0,9443.0,6492.0,0.0,0.0,2937.0,14.0,2408.0,762.0,146.0,10.0,1490.0,0.0,47121
17553.0,10766.0,9842.0,14.0,0.0,907.0,3.0,6787.0,4220.0,1254.0,847.0,466.0,0.0,47075
192753.0,118308.0,112866.0,355.0,229.0,4784.0,74.0,74445.0,41730.0,12800.0,14801.0,5031.0,83.0,47125
13144.0,10321.0,7846.0,29.0,0.0,2446.0,0.0,2823.0,1429.0,222.0,354.0,818.0,0.0,47061
35000.0,23877.0,18036.0,119.0,4.0,5677.0,41.0,11123.0,4148.0,1572.0,892.0,4504.0,7.0,47029
19284.0,13100.0,11109.0,7.0,0.0,1984.0,0.0,6184.0,3542.0,1123.0,300.0,1219.0,0.0,47041
11712.0,9246.0,6636.0,0.0,37.0,2573.0,0.0,2466.0,1698.0,245.0,95.0,406.0,22.0,47101
30036.0,20646.0,18488.0,60.0,15.0,2083.0,0.0,9390.0,4977.0,1942.0,1344.0,1127.0,0.0,47131
60747.0,42317.0,38538.0,46.0,0.0,3697.0,36.0,18430.0,11887.0,2775.0,1476.0,2292.0,0.0,47167
37014.0,22584.0,20900.0,18.0,0.0,1648.0,18.0,14430.0,9537.0,2573.0,1413.0,900.0,7.0,47045
345972.0,230418.0,220182.0,1819.0,1266.0,7002.0,149.0,115554.0,54183.0,21909.0,35369.0,4035.0,58.0,47065
16529.0,12098.0,9398.0,0.0,0.0,2691.0,9.0,4431.0,2631.0,365.0,183.0,1246.0,6.0,47139
26180.0,21720.0,18300.0,0.0,0.0,3420.0,0.0,4460.0,2726.0,469.0,453.0,812.0,0.0,47185
154111.0,112398.0,98982.0,1039.0,777.0,11586.0,14.0,41713.0,19284.0,5178.0,10790.0,6410.0,51.0,47163
29935.0,23036.0,19288.0,514.0,19.0,3213.0,2.0,6899.0,2532.0,2515.0,1188.0,651.0,13.0,36095
52557.0,37714.0,32734.0,1406.0,18.0,3522.0,34.0,14843.0,5478.0,6093.0,2040.0,1232.0,0.0,36035
153540.0,102235.0,93378.0,5760.0,533.0,2520.0,44.0,51305.0,9881.0,22126.0,18099.0,1176.0,23.0,36083
44845.0,33689.0,28141.0,584.0,483.0,4480.0,1.0,11156.0,4803.0,3148.0,2008.0,1197.0,0.0,36033
2270642.0,1078575.0,642230.0,278116.0,155536.0,2326.0,367.0,1192067.0,116827.0,486491.0,587174.0,1113.0,462.0,36081
58586.0,43562.0,39510.0,1132.0,80.0,2833.0,7.0,15024.0,6213.0,5370.0,2542.0,899.0,0.0,36115
1572775.0,366167.0,30076.0,13877.0,321564.0,345.0,305.0,1206608.0,12125.0,46554.0,1146969.0,430.0,530.0,36061
73497.0,54117.0,47753.0,1258.0,58.0,5048.0,0.0,19380.0,7580.0,5948.0,4107.0,1745.0,0.0,36011
317016.0,216056.0,193975.0,9853.0,9674.0,2554.0,0.0,100960.0,26228.0,35872.0,38391.0,454.0,15.0,36087
207722.0,155791.0,145671.0,4237.0,908.0,4877.0,98.0,51931.0,20381.0,17759.0,12827.0,964.0,0.0,36063
34859.0,26785.0,23533.0,642.0,189.0,2421.0,0.0,8074.0,3171.0,2573.0,1353.0,977.0,0.0,36031
1336458.0,1106545.0,1041466.0,32962.0,29545.0,2479.0,93.0,229913.0,94563.0,68268.0,66533.0,549.0,0.0,36059
17737.0,13716.0,11570.0,220.0,10.0,1916.0,0.0,4021.0,1859.0,757.0,515.0,890.0,0.0,36097
47662.0,36659.0,28096.0,543.0,90.0,7920.0,10.0,11003.0,3510.0,3660.0,2114.0,1719.0,0.0,36017
108009.0,62227.0,53976.0,1750.0,112.0,6389.0,0.0,45782.0,19986.0,12873.0,10421.0,2502.0,0.0,36045
1458166.0,1202089.0,1155681.0,26160.0,12953.0,7204.0,91.0,256077.0,140107.0,48105.0,65021.0,2514.0,330.0,36103
37617.0,29836.0,27210.0,737.0,9.0,1874.0,6.0,7781.0,3130.0,2727.0,1280.0,644.0,0.0,36121
114244.0,85319.0,71220.0,1529.0,202.0,12368.0,0.0,28925.0,9879.0,8239.0,5638.0,5169.0,0.0,36075
89109.0,70432.0,63617.0,1294.0,85.0,5307.0,129.0,18677.0,7854.0,5713.0,3767.0,1343.0,0.0,36117
184172.0,126365.0,114611.0,4945.0,641.0,6163.0,5.0,57807.0,14983.0,23244.0,17215.0,2345.0,20.0,36007
891858.0,613517.0,554917.0,45353.0,5193.0,8030.0,24.0,278341.0,72770.0,134322.0,69294.0,1881.0,74.0,36029
71318.0,47620.0,41900.0,888.0,157.0,4675.0,0.0,23698.0,10871.0,4742.0,5253.0,2832.0,0.0,36105
6783.0,5271.0,4008.0,0.0,29.0,1234.0,0.0,1512.0,863.0,263.0,93.0,293.0,0.0,05073
18824.0,8793.0,7910.0,0.0,0.0,844.0,39.0,10031.0,6420.0,1817.0,1038.0,756.0,0.0,05107
21228.0,14548.0,13046.0,0.0,0.0,1459.0,43.0,6680.0,4158.0,838.0,1296.0,309.0,79.0,05149
10752.0,6894.0,5682.0,0.0,0.0,1212.0,0.0,3858.0,2218.0,645.0,521.0,474.0,0.0,05011
20039.0,15080.0,11456.0,0.0,95.0,3447.0,82.0,4959.0,3476.0,343.0,326.0,798.0,16.0,05113
23719.0,16483.0,13913.0,24.0,0.0,2546.0,0.0,7236.0,4562.0,1524.0,905.0,245.0,0.0,05103
12253.0,8744.0,7109.0,0.0,0.0,1635.0,0.0,3509.0,1766.0,411.0,296.0,1036.0,0.0,05081
42402.0,27612.0,22870.0,12.0,9.0,4635.0,86.0,14790.0,6324.0,2671.0,4478.0,1317.0,0.0,05091
74926.0,50838.0,41244.0,44.0,0.0,9484.0,66.0,24088.0,13256.0,2708.0,3678.0,4376.0,70.0,05145
63151.0,40093.0,29934.0,54.0,424.0,9636.0,45.0,23058.0,14755.0,1900.0,2593.0,3810.0,0.0,06033
3594.0,2860.0,2720.0,0.0,0.0,140.0,0.0,734.0,496.0,87.0,73.0,78.0,0.0,29129
18100.0,13078.0,11212.0,27.0,0.0,1839.0,0.0,5022.0,3340.0,880.0,202.0,600.0,0.0,29229
236508.0,172385.0,168131.0,533.0,374.0,3311.0,36.0,64123.0,28907.0,8925.0,25218.0,1065.0,8.0,29047
15293.0,10764.0,8673.0,0.0,0.0,2079.0,12.0,4529.0,2659.0,661.0,89.0,1116.0,4.0,29065
21710.0,15232.0,14208.0,70.0,60.0,892.0,2.0,6478.0,4049.0,952.0,640.0,837.0,0.0,29195
1994.0,1578.0,1484.0,0.0,0.0,94.0,0.0,416.0,313.0,49.0,25.0,29.0,0.0,29227
9714.0,6831.0,6421.0,8.0,8.0,394.0,0.0,2883.0,2197.0,363.0,166.0,157.0,0.0,29079
19760.0,15425.0,12968.0,23.0,63.0,2361.0,10.0,4335.0,2812.0,476.0,221.0,826.0,0.0,29141
6105.0,4927.0,3968.0,0.0,0.0,959.0,0.0,1178.0,831.0,71.0,55.0,221.0,0.0,29179
979897.0,700460.0,679978.0,4969.0,14284.0,1166.0,63.0,279437.0,143600.0,43461.0,91359.0,910.0,107.0,29189
31081.0,25355.0,20496.0,22.0,673.0,4061.0,103.0,5726.0,3761.0,601.0,625.0,739.0,0.0,29209
35187.0,24534.0,21207.0,42.0,0.0,3249.0,36.0,10653.0,6179.0,791.0,644.0,3009.0,30.0,29009
167406.0,98088.0,92635.0,737.0,545.0,4171.0,0.0,69318.0,25068.0,19230.0,21949.0,3071.0,0.0,29019
71959.0,52036.0,50317.0,263.0,69.0,1387.0,0.0,19923.0,7864.0,6657.0,4601.0,801.0,0.0,29051
23813.0,16098.0,13513.0,151.0,0.0,2434.0,0.0,7715.0,4779.0,771.0,721.0,1444.0,0.0,29055
9851.0,7158.0,6070.0,0.0,0.0,1088.0,0.0,2693.0,1670.0,499.0,154.0,362.0,8.0,29093
13679.0,9661.0,8918.0,33.0,4.0,706.0,0.0,4018.0,2545.0,1037.0,168.0,268.0,0.0,29117
14598.0,11415.0,10640.0,43.0,0.0,732.0,0.0,3183.0,1838.0,587.0,510.0,238.0,10.0,29135
16835.0,9191.0,8347.0,11.0,0.0,830.0,3.0,7644.0,5278.0,1468.0,428.0,467.0,3.0,29155
41454.0,28506.0,26851.0,168.0,76.0,1411.0,0.0,12948.0,8687.0,1842.0,1768.0,651.0,0.0,29159
8131.0,5817.0,4514.0,0.0,9.0,1294.0,0.0,2314.0,1538.0,155.0,64.0,557.0,0.0,29203
22694.0,17417.0,15067.0,91.0,34.0,2223.0,2.0,5277.0,3256.0,1144.0,386.0,491.0,0.0,29175
29711.0,18029.0,16416.0,0.0,0.0,1606.0,7.0,11682.0,8297.0,2005.0,457.0,923.0,0.0,29069
101901.0,76767.0,71257.0,299.0,237.0,4963.0,11.0,25134.0,13937.0,3190.0,4373.0,3630.0,4.0,29071
9349.0,7341.0,6369.0,19.0,6.0,947.0,0.0,2008.0,1314.0,253.0,52.0,389.0,0.0,29089
680427.0,419283.0,406735.0,3082.0,5831.0,3515.0,120.0,261144.0,148175.0,36340.0,74534.0,1806.0,289.0,29095
24700.0,18555.0,16035.0,0.0,193.0,2313.0,14.0,6145.0,3641.0,556.0,798.0,1150.0,0.0,29131
4728.0,3362.0,3101.0,42.0,0.0,219.0,0.0,1366.0,874.0,296.0,87.0,109.0,0.0,29171
52950.0,31745.0,25442.0,186.0,1307.0,4678.0,132.0,21205.0,7797.0,3104.0,7032.0,3251.0,21.0,29213
84934.0,55460.0,52916.0,481.0,43.0,1985.0,35.0,29474.0,17246.0,4263.0,6628.0,1335.0,2.0,29021
8842.0,6786.0,6234.0,0.0,0.0,552.0,0.0,2056.0,1312.0,334.0,146.0,264.0,0.0,29025
101723.0,78902.0,75864.0,200.0,37.0,2788.0,13.0,22821.0,13802.0,5590.0,2242.0,1187.0,0.0,29037
20009.0,14837.0,14265.0,93.0,0.0,479.0,0.0,5172.0,3756.0,891.0,279.0,220.0,26.0,29049
16273.0,12361.0,9821.0,0.0,0.0,2394.0,146.0,3912.0,2648.0,282.0,437.0,545.0,0.0,29059
9280.0,7597.0,5424.0,0.0,0.0,2141.0,32.0,1683.0,1092.0,171.0,3.0,417.0,0.0,29085
54807.0,42646.0,37074.0,73.0,0.0,5499.0,0.0,12161.0,6204.0,1433.0,1352.0,3172.0,0.0,29113
8512.0,6451.0,5608.0,0.0,0.0,825.0,18.0,2061.0,1297.0,151.0,265.0,348.0,0.0,29137
57154.0,40674.0,35739.0,46.0,16.0,4841.0,32.0,16480.0,9667.0,1275.0,1756.0,3782.0,0.0,29145
16172.0,11415.0,10302.0,9.0,0.0,1094.0,10.0,4757.0,3024.0,654.0,500.0,579.0,0.0,29163
382467.0,318013.0,306167.0,2363.0,1976.0,7474.0,33.0,64454.0,32010.0,7973.0,21968.0,2445.0,58.0,29183
74928.0,49729.0,45487.0,164.0,72.0,3976.0,30.0,25199.0,14558.0,4209.0,5382.0,1030.0,20.0,29031
5786.0,4062.0,3593.0,8.0,11.0,447.0,3.0,1724.0,1489.0,174.0,34.0,27.0,0.0,29205
37163.0,27779.0,24745.0,49.0,0.0,2973.0,12.0,9384.0,6026.0,1343.0,857.0,1137.0,21.0,29225
5157.0,3695.0,3568.0,31.0,0.0,96.0,0.0,1462.0,1151.0,229.0,49.0,33.0,0.0,29005
16040.0,11785.0,10513.0,22.0,0.0,1241.0,9.0,4255.0,3039.0,606.0,55.0,553.0,2.0,29013
18743.0,15354.0,12456.0,22.0,22.0,2854.0,0.0,3389.0,1815.0,485.0,290.0,799.0,0.0,29015
6152.0,4695.0,3967.0,0.0,0.0,713.0,15.0,1457.0,764.0,129.0,34.0,530.0,0.0,29035
7429.0,5905.0,5018.0,0.0,0.0,820.0,67.0,1524.0,1174.0,163.0,29.0,158.0,0.0,29057
12020.0,9013.0,8432.0,3.0,6.0,572.0,0.0,3007.0,2014.0,638.0,131.0,224.0,0.0,29115
39546.0,28072.0,24113.0,12.0,0.0,3915.0,32.0,11474.0,6564.0,1476.0,1264.0,2058.0,112.0,29091
49078.0,30207.0,27261.0,8.0,12.0,2917.0,9.0,18871.0,10114.0,4453.0,2749.0,1552.0,3.0,29101
35129.0,24133.0,19982.0,11.0,0.0,4092.0,48.0,10996.0,6017.0,2259.0,1004.0,1716.0,0.0,29105
8789.0,6579.0,5748.0,3.0,0.0,815.0,13.0,2210.0,1546.0,308.0,33.0,323.0,0.0,29125
41707.0,25950.0,23006.0,60.0,65.0,2815.0,4.0,15757.0,7439.0,4243.0,2786.0,1289.0,0.0,29161
98035.0,68579.0,68050.0,222.0,131.0,176.0,0.0,29456.0,12400.0,6093.0,10805.0,148.0,10.0,29165
59328.0,41648.0,37041.0,268.0,0.0,4339.0,0.0,17680.0,9837.0,2496.0,3744.0,1600.0,3.0,29187
300862.0,143632.0,124697.0,13429.0,5057.0,449.0,0.0,157230.0,49358.0,60491.0,46763.0,430.0,188.0,29510
17211.0,13382.0,12665.0,0.0,5.0,696.0,16.0,3829.0,2661.0,689.0,290.0,189.0,0.0,29003
41690.0,27081.0,23516.0,64.0,10.0,3485.0,6.0,14609.0,8622.0,2218.0,1573.0,2145.0,51.0,29023
48423.0,36515.0,23496.0,15.0,0.0,12822.0,182.0,11908.0,6430.0,1492.0,398.0,3588.0,0.0,48013
14682.0,9563.0,8805.0,0.0,0.0,675.0,83.0,5119.0,3275.0,963.0,671.0,185.0,25.0,48353
3377.0,2548.0,1844.0,0.0,0.0,694.0,10.0,829.0,492.0,74.0,0.0,221.0,42.0,48229
11472.0,8363.0,7419.0,13.0,0.0,923.0,8.0,3109.0,1717.0,466.0,223.0,696.0,7.0,48475
65188.0,46953.0,37495.0,5.0,0.0,9325.0,128.0,18235.0,7894.0,2623.0,1892.0,5826.0,0.0,48203
2074.0,1352.0,1211.0,0.0,0.0,122.0,19.0,722.0,579.0,86.0,0.0,57.0,0.0,48327
24582.0,19180.0,15159.0,102.0,0.0,3892.0,27.0,5402.0,3638.0,483.0,351.0,925.0,5.0,48149
522599.0,375332.0,363288.0,1031.0,580.0,10277.0,156.0,147267.0,66968.0,17152.0,58463.0,4664.0,20.0,48491
21436.0,17449.0,15458.0,98.0,3.0,1890.0,0.0,3987.0,2721.0,474.0,694.0,82.0,16.0,48233
12272.0,8980.0,7722.0,123.0,0.0,1117.0,18.0,3292.0,1965.0,813.0,136.0,364.0,14.0,48343
83254.0,64578.0,53549.0,0.0,41.0,10863.0,125.0,18676.0,8464.0,2181.0,5155.0,2841.0,35.0,48361
7703.0,6193.0,5587.0,0.0,0.0,558.0,48.0,1510.0,1274.0,33.0,115.0,88.0,0.0,48495
4561215.0,2656617.0,2527835.0,9520.0,35465.0,82450.0,1347.0,1904598.0,645584.0,159709.0,1037262.0,60823.0,1220.0,48201
45200.0,33085.0,26585.0,17.0,137.0,6166.0,180.0,12115.0,6493.0,2521.0,1101.0,2000.0,0.0,48053
25869.0,19478.0,16674.0,18.0,9.0,2724.0,53.0,6391.0,3054.0,895.0,1177.0,1265.0,0.0,48171
2556092.0,1374329.0,1310949.0,9412.0,21376.0,32291.0,301.0,1181763.0,384868.0,121453.0,657261.0,17656.0,525.0,48113
662.0,473.0,365.0,0.0,0.0,106.0,2.0,189.0,66.0,0.0,7.0,116.0,0.0,48311
17840.0,13917.0,12702.0,0.0,0.0,1213.0,2.0,3923.0,2711.0,163.0,372.0,642.0,35.0,48503
160670.0,120125.0,96073.0,168.0,181.0,23463.0,240.0,40545.0,19420.0,5922.0,5109.0,10008.0,86.0,48251
35772.0,24680.0,20442.0,0.0,20.0,4044.0,174.0,11092.0,7439.0,883.0,1850.0,905.0,15.0,48223
10285.0,7538.0,6692.0,0.0,23.0,823.0,0.0,2747.0,2096.0,120.0,267.0,264.0,0.0,48357
3585.0,2984.0,2857.0,0.0,0.0,127.0,0.0,601.0,436.0,165.0,0.0,0.0,0.0,48275
239069.0,147019.0,136921.0,276.0,399.0,9166.0,257.0,92050.0,47099.0,15607.0,25115.0,4110.0,119.0,48309
3068.0,2043.0,1869.0,0.0,40.0,134.0,0.0,1025.0,786.0,31.0,3.0,205.0,0.0,48095
2043.0,1749.0,1403.0,0.0,0.0,346.0,0.0,294.0,229.0,0.0,0.0,65.0,0.0,48137
17291.0,13472.0,10987.0,0.0,55.0,2430.0,0.0,3819.0,2255.0,737.0,366.0,461.0,0.0,48133
2172.0,1656.0,1244.0,0.0,0.0,364.0,48.0,516.0,471.0,0.0,0.0,45.0,0.0,48243
5253.0,3540.0,3295.0,0.0,8.0,237.0,0.0,1713.0,949.0,400.0,107.0,257.0,0.0,48247
551333.0,407197.0,346405.0,151.0,1362.0,58827.0,452.0,144136.0,63932.0,5381.0,47782.0,26826.0,215.0,48339
10539.0,7839.0,7111.0,0.0,0.0,724.0,4.0,2700.0,1560.0,520.0,27.0,593.0,0.0,48127
268796.0,172188.0,149498.0,1168.0,1235.0,20141.0,146.0,96608.0,46874.0,13558.0,26818.0,9339.0,19.0,48479
1853.0,1416.0,1239.0,0.0,0.0,172.0,5.0,437.0,370.0,0.0,9.0,58.0,0.0,48011
7696.0,4373.0,4065.0,0.0,0.0,308.0,0.0,3323.0,2108.0,411.0,271.0,533.0,0.0,48069
29563.0,16151.0,14959.0,0.0,0.0,1182.0,10.0,13412.0,7391.0,2261.0,2897.0,848.0,15.0,48273
38909.0,25728.0,22253.0,47.0,0.0,3407.0,21.0,13181.0,8616.0,1383.0,1211.0,1947.0,24.0,48097
5780.0,4085.0,3905.0,0.0,0.0,180.0,0.0,1695.0,1226.0,312.0,100.0,57.0,0.0,48107
3843.0,2889.0,2737.0,4.0,0.0,145.0,3.0,954.0,603.0,224.0,47.0,80.0,0.0,48151
10851.0,6656.0,5636.0,0.0,0.0,999.0,21.0,4195.0,3617.0,187.0,98.0,293.0,0.0,48131
11173.0,8635.0,7089.0,11.0,56.0,1364.0,115.0,2538.0,1137.0,471.0,241.0,689.0,0.0,48031
34582.0,26129.0,20454.0,47.0,16.0,5601.0,11.0,8453.0,4841.0,1022.0,435.0,2147.0,8.0,48241
238864.0,152830.0,146028.0,548.0,572.0,5553.0,129.0,86034.0,40473.0,11504.0,32553.0,1467.0,37.0,48245
