B25033_001E,B25033_002E,B25033_003E,B25033_004E,B25033_005E,B25033_006E,B25033_007E,B25033_008E,B25033_009E,B25033_010E,B25033_011E,B25033_012E,B25033_013E,geoid
9626.0,6239.0,6197.0,24.0,5.0,13.0,0.0,3387.0,2899.0,279.0,209.0,0.0,0.0,72083
28984.0,22370.0,22051.0,117.0,202.0,0.0,0.0,6614.0,5748.0,248.0,618.0,0.0,0.0,72011
41641.0,27909.0,27653.0,248.0,8.0,0.0,0.0,13732.0,10975.0,1158.0,1599.0,0.0,0.0,72131
198959.0,141158.0,125572.0,6604.0,8843.0,139.0,0.0,57801.0,27689.0,14312.0,15781.0,19.0,0.0,72021
27661.0,16866.0,15421.0,1045.0,396.0,4.0,0.0,10795.0,3847.0,2624.0,4324.0,0.0,0.0,72033
18933.0,13053.0,12918.0,42.0,77.0,16.0,0.0,5880.0,4719.0,317.0,844.0,0.0,0.0,72055
85675.0,51223.0,47506.0,889.0,2730.0,98.0,0.0,34452.0,16411.0,4920.0,13121.0,0.0,0.0,72097
54490.0,42036.0,33780.0,11.0,20.0,8208.0,17.0,12454.0,6862.0,911.0,2070.0,2611.0,0.0,01001
184619.0,133039.0,113388.0,754.0,1369.0,17046.0,482.0,51580.0,24200.0,6702.0,11869.0,8743.0,66.0,01003
24454.0,16814.0,12385.0,15.0,15.0,4365.0,34.0,7640.0,3699.0,1462.0,772.0,1707.0,0.0,01005
21472.0,17046.0,10757.0,0.0,27.0,6262.0,0.0,4426.0,1620.0,691.0,924.0,1191.0,0.0,01007
57057.0,46548.0,37868.0,10.0,0.0,8668.0,2.0,10509.0,5425.0,930.0,936.0,3218.0,0.0,01009
10219.0,7514.0,4265.0,0.0,0.0,3249.0,0.0,2705.0,1023.0,727.0,258.0,697.0,0.0,01011
20366.0,14237.0,10102.0,13.0,22.0,4100.0,0.0,6129.0,2865.0,1149.0,951.0,1164.0,0.0,01013
114962.0,79254.0,67366.0,391.0,39.0,11406.0,52.0,35708.0,18697.0,4437.0,6572.0,6002.0,0.0,01015
