B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,geoid
4387.0,4327.0,6.0,6.0,12.0,36.0,01029959800
3709.0,3557.0,0.0,10.0,21.0,121.0,01029959700
1532.0,1532.0,0.0,0.0,0.0,0.0,01035960300
3852.0,3813.0,0.0,17.0,0.0,22.0,01035960600
2018.0,1992.0,0.0,4.0,22.0,0.0,01035960200
1568.0,1548.0,0.0,16.0,0.0,4.0,01035960500
3544.0,3503.0,0.0,0.0,10.0,31.0,01035960400
3594.0,3594.0,0.0,0.0,0.0,0.0,01063060100
5445.0,4751.0,0.0,30.0,61.0,603.0,01095030904
9344.0,8937.0,0.0,13.0,180.0,214.0,01097006406
5649.0,5599.0,0.0,0.0,33.0,17.0,01097006407
5209.0,5014.0,0.0,31.0,140.0,24.0,01097006501
12333.0,12040.0,43.0,231.0,19.0,0.0,01097006502
5986.0,5481.0,0.0,24.0,168.0,313.0,01097006701
3830.0,3441.0,0.0,9.0,312.0,68.0,01097006702
2913.0,2628.0,0.0,0.0,125.0,160.0,01097007201
2674.0,2636.0,0.0,9.0,14.0,15.0,01097007202
2897.0,2839.0,0.0,0.0,28.0,30.0,01097007400
1385.0,1385.0,0.0,0.0,0.0,0.0,01097007500
1978.0,1978.0,0.0,0.0,0.0,0.0,01097007600
1228.0,1228.0,0.0,0.0,0.0,0.0,01097007700
0.0,0.0,0.0,0.0,0.0,0.0,01097990000
1672.0,1672.0,0.0,0.0,0.0,0.0,01097005000
4731.0,4714.0,0.0,17.0,0.0,0.0,01097005900
7424.0,7308.0,0.0,10.0,91.0,15.0,01097006105
9190.0,8530.0,0.0,88.0,400.0,172.0,01097006405
4496.0,4076.0,0.0,55.0,99.0,266.0,01101005407
7846.0,7409.0,0.0,90.0,166.0,181.0,01101005408
2906.0,2646.0,5.0,31.0,116.0,108.0,01101005409
5276.0,4756.0,8.0,34.0,18.0,460.0,01101005410
1851.0,1813.0,0.0,0.0,16.0,22.0,01101005501
2985.0,2879.0,0.0,32.0,51.0,23.0,01101005502
5441.0,4805.0,7.0,132.0,151.0,346.0,01101005503
1214.0,1185.0,0.0,15.0,14.0,0.0,01101005504
3494.0,3324.0,0.0,71.0,76.0,23.0,01101005605
4304.0,4160.0,0.0,80.0,64.0,0.0,01101005606
5068.0,3845.0,0.0,93.0,328.0,802.0,01101005607
1862.0,1776.0,0.0,20.0,61.0,5.0,01101005608
4573.0,4193.0,0.0,103.0,76.0,201.0,01101005609
1571.0,1435.0,0.0,9.0,32.0,95.0,01101005610
3986.0,3087.0,22.0,57.0,241.0,579.0,01101005611
1855.0,1701.0,0.0,42.0,47.0,65.0,01101005612
10917.0,10685.0,0.0,12.0,104.0,116.0,01115040501
5263.0,5205.0,0.0,0.0,50.0,8.0,01115040300
5901.0,5729.0,0.0,23.0,82.0,67.0,01115040201
10424.0,10278.0,0.0,100.0,32.0,14.0,01115040502
6348.0,6231.0,0.0,0.0,21.0,96.0,01115040203
4921.0,4845.0,3.0,27.0,46.0,0.0,01003011300
9744.0,9210.0,13.0,135.0,224.0,162.0,01003010705
3104.0,3065.0,0.0,24.0,7.0,8.0,01003010200
7036.0,6769.0,2.0,22.0,95.0,148.0,01003010800
5021.0,4853.0,0.0,31.0,82.0,55.0,01003011201
11287.0,10813.0,0.0,67.0,206.0,201.0,01003011401
4512.0,4263.0,34.0,39.0,23.0,153.0,01003011000
4255.0,4168.0,0.0,0.0,87.0,0.0,01003010100
5444.0,5314.0,0.0,26.0,104.0,0.0,01003010500
6003.0,5695.0,130.0,35.0,58.0,85.0,01003011202
4678.0,4632.0,6.0,0.0,40.0,0.0,01003010400
9413.0,9304.0,0.0,0.0,44.0,65.0,01003010300
19892.0,18754.0,3.0,132.0,558.0,445.0,01003010703
5880.0,5593.0,0.0,153.0,57.0,77.0,01003010704
8324.0,7939.0,0.0,45.0,95.0,245.0,01003010701
10629.0,10427.0,62.0,70.0,20.0,50.0,01003011403
3565.0,3467.0,0.0,0.0,0.0,98.0,01003010600
1100.0,1073.0,0.0,0.0,10.0,17.0,01077010300
3316.0,3162.0,0.0,37.0,32.0,85.0,01077010600
4727.0,4582.0,0.0,23.0,0.0,122.0,01077011000
2441.0,2371.0,0.0,0.0,13.0,57.0,01097002600
4852.0,4842.0,0.0,0.0,0.0,10.0,01073011803
7060.0,6824.0,0.0,14.0,67.0,155.0,01077010900
2905.0,2886.0,0.0,3.0,0.0,16.0,01013953400
3765.0,3747.0,0.0,15.0,3.0,0.0,01073011600
2675.0,2472.0,0.0,17.0,31.0,155.0,01073011901
4654.0,4517.0,4.0,10.0,69.0,54.0,01073012001
4650.0,4400.0,5.0,0.0,171.0,74.0,01073012907
