B25033_001E,B25033_002E,B25033_003E,B25033_004E,B25033_005E,B25033_006E,B25033_007E,B25033_008E,B25033_009E,B25033_010E,B25033_011E,B25033_012E,B25033_013E,geoid
19894.0,16271.0,14457.0,3.0,0.0,1798.0,13.0,3623.0,2257.0,514.0,251.0,601.0,0.0,17051
24896.0,18700.0,17983.0,42.0,16.0,659.0,0.0,6196.0,3903.0,1019.0,1158.0,116.0,0.0,17107
23500.0,17963.0,15598.0,131.0,93.0,2141.0,0.0,5537.0,3044.0,927.0,714.0,852.0,0.0,17165
683278.0,512695.0,486789.0,7718.0,9640.0,8522.0,26.0,170583.0,82236.0,26509.0,58816.0,2895.0,127.0,17097
13886.0,10602.0,8307.0,45.0,61.0,2180.0,9.0,3284.0,2076.0,442.0,364.0,388.0,14.0,17127
12323.0,9160.0,8254.0,37.0,0.0,861.0,8.0,3163.0,1818.0,701.0,304.0,340.0,0.0,17017
34975.0,26908.0,26139.0,49.0,0.0,720.0,0.0,8067.0,5271.0,1008.0,1178.0,610.0,0.0,18069
23848.0,18869.0,18235.0,1.0,0.0,601.0,32.0,4979.0,2983.0,833.0,399.0,764.0,0.0,18181
20570.0,15108.0,14226.0,70.0,8.0,804.0,0.0,5462.0,3486.0,714.0,946.0,316.0,0.0,18075
43704.0,32188.0,31131.0,54.0,10.0,993.0,0.0,11516.0,7121.0,1562.0,2240.0,593.0,0.0,18145
18560.0,14650.0,13073.0,0.0,0.0,1574.0,3.0,3910.0,2280.0,376.0,680.0,538.0,36.0,18153
174655.0,103878.0,100130.0,482.0,340.0,2926.0,0.0,70777.0,25988.0,12508.0,30431.0,1850.0,0.0,18157
321593.0,259884.0,254108.0,1226.0,1319.0,3231.0,0.0,61709.0,23276.0,7198.0,30404.0,831.0,0.0,18057
81511.0,59769.0,56002.0,199.0,117.0,3404.0,47.0,21742.0,10419.0,3057.0,6511.0,1750.0,5.0,18005
19881.0,15195.0,14089.0,51.0,5.0,1050.0,0.0,4686.0,2742.0,559.0,569.0,816.0,0.0,18049
46710.0,36728.0,34178.0,185.0,38.0,2317.0,10.0,9982.0,4977.0,1814.0,1781.0,1410.0,0.0,18113
114781.0,83752.0,78548.0,243.0,428.0,4456.0,77.0,31029.0,16107.0,5080.0,8089.0,1753.0,0.0,18019
161266.0,132449.0,131021.0,165.0,131.0,1132.0,0.0,28817.0,14602.0,2816.0,10765.0,634.0,0.0,18063
60854.0,42509.0,40306.0,109.0,34.0,2060.0,0.0,18345.0,11532.0,2680.0,3115.0,1018.0,0.0,18053
43274.0,31586.0,28954.0,106.0,0.0,2517.0,9.0,11688.0,6173.0,1434.0,2993.0,1088.0,0.0,18071
20662.0,16269.0,12998.0,4.0,5.0,3239.0,23.0,4393.0,2581.0,358.0,273.0,1140.0,41.0,18119
33294.0,27809.0,26522.0,58.0,0.0,1229.0,0.0,5485.0,3369.0,773.0,913.0,430.0,0.0,18183
31670.0,23089.0,21804.0,98.0,27.0,1160.0,0.0,8581.0,5683.0,1251.0,1364.0,283.0,0.0,18023
7050.0,4770.0,4122.0,99.0,0.0,549.0,0.0,2280.0,1729.0,182.0,276.0,93.0,0.0,18161
48902.0,39584.0,38290.0,149.0,134.0,1011.0,0.0,9318.0,5351.0,1173.0,2339.0,455.0,0.0,18029
44883.0,35578.0,31705.0,82.0,0.0,3791.0,0.0,9305.0,5265.0,1423.0,1630.0,974.0,13.0,18093
17460.0,14201.0,12567.0,5.0,0.0,1610.0,19.0,3259.0,1828.0,337.0,825.0,269.0,0.0,18123
25283.0,21248.0,20071.0,9.0,0.0,1168.0,0.0,4035.0,2919.0,206.0,736.0,174.0,0.0,18129
19955.0,16320.0,15551.0,37.0,0.0,730.0,2.0,3635.0,2638.0,360.0,442.0,195.0,0.0,18015
16268.0,12554.0,11780.0,0.0,0.0,774.0,0.0,3714.0,2486.0,643.0,121.0,464.0,0.0,18045
22891.0,18311.0,17182.0,70.0,0.0,1059.0,0.0,4580.0,3384.0,279.0,437.0,480.0,0.0,18149
31859.0,25607.0,21533.0,65.0,0.0,4000.0,9.0,6252.0,3195.0,707.0,748.0,1602.0,0.0,18055
25295.0,21661.0,21006.0,188.0,26.0,441.0,0.0,3634.0,2392.0,614.0,569.0,59.0,0.0,19011
92838.0,70973.0,67289.0,715.0,243.0,2726.0,0.0,21865.0,8857.0,6520.0,5824.0,664.0,0.0,19061
6653.0,5310.0,5211.0,27.0,3.0,69.0,0.0,1343.0,1017.0,157.0,128.0,41.0,0.0,19151
7054.0,5862.0,5489.0,46.0,0.0,325.0,2.0,1192.0,796.0,233.0,52.0,111.0,0.0,19177
3533.0,2878.0,2746.0,11.0,0.0,121.0,0.0,655.0,555.0,39.0,50.0,11.0,0.0,19003
5453.0,4181.0,4134.0,18.0,0.0,29.0,0.0,1272.0,1113.0,53.0,72.0,34.0,0.0,19009
8811.0,7891.0,7599.0,0.0,0.0,292.0,0.0,920.0,638.0,140.0,99.0,43.0,0.0,19051
6779.0,5517.0,5413.0,31.0,0.0,73.0,0.0,1262.0,914.0,115.0,157.0,76.0,0.0,19093
7677.0,6451.0,5555.0,0.0,0.0,883.0,13.0,1226.0,776.0,211.0,86.0,153.0,0.0,19135
32600.0,26990.0,26317.0,111.0,223.0,339.0,0.0,5610.0,3310.0,816.0,674.0,810.0,0.0,19167
8946.0,7224.0,7153.0,16.0,6.0,47.0,2.0,1722.0,1262.0,178.0,264.0,18.0,0.0,19025
41630.0,30387.0,29283.0,196.0,385.0,523.0,0.0,11243.0,7252.0,1276.0,2548.0,167.0,0.0,19033
16202.0,12315.0,12012.0,39.0,31.0,233.0,0.0,3887.0,2440.0,733.0,455.0,254.0,5.0,19083
8462.0,7045.0,6805.0,0.0,0.0,239.0,1.0,1417.0,956.0,91.0,348.0,22.0,0.0,19117
8661.0,6499.0,6348.0,56.0,41.0,54.0,0.0,2162.0,1321.0,261.0,560.0,20.0,0.0,19147
18487.0,13577.0,12750.0,194.0,23.0,600.0,10.0,4910.0,2795.0,1184.0,665.0,266.0,0.0,19087
35217.0,27282.0,26067.0,67.0,85.0,1063.0,0.0,7935.0,4395.0,1314.0,1950.0,276.0,0.0,19099
16710.0,12070.0,11331.0,37.0,170.0,514.0,18.0,4640.0,2663.0,1026.0,857.0,94.0,0.0,19157
17298.0,13348.0,12881.0,53.0,2.0,412.0,0.0,3950.0,2372.0,540.0,785.0,253.0,0.0,19043
23394.0,19744.0,19298.0,126.0,192.0,128.0,0.0,3650.0,2364.0,472.0,763.0,51.0,0.0,19017
8495.0,6667.0,6296.0,40.0,34.0,297.0,0.0,1828.0,1493.0,100.0,168.0,67.0,0.0,19063
10598.0,8371.0,8327.0,2.0,0.0,42.0,0.0,2227.0,1503.0,149.0,507.0,68.0,0.0,19081
19152.0,15139.0,14226.0,40.0,38.0,829.0,6.0,4013.0,2185.0,892.0,573.0,363.0,0.0,19097
32986.0,25898.0,24323.0,150.0,35.0,1390.0,0.0,7088.0,3843.0,1440.0,1401.0,404.0,0.0,19111
48298.0,40048.0,38386.0,293.0,262.0,1107.0,0.0,8250.0,3894.0,808.0,3354.0,194.0,0.0,19181
21526.0,15114.0,14334.0,76.0,24.0,680.0,0.0,6412.0,4123.0,967.0,612.0,710.0,0.0,19123
15883.0,11285.0,10926.0,21.0,83.0,255.0,0.0,4598.0,2638.0,531.0,1419.0,10.0,0.0,19041
16949.0,14751.0,14200.0,17.0,36.0,498.0,0.0,2198.0,1465.0,264.0,329.0,140.0,0.0,19055
10460.0,7483.0,4815.0,0.0,0.0,2668.0,0.0,2977.0,1125.0,527.0,138.0,1187.0,0.0,13005
18683.0,15273.0,7242.0,0.0,0.0,7996.0,35.0,3410.0,821.0,344.0,27.0,2200.0,18.0,13025
16698.0,10257.0,7869.0,0.0,0.0,2379.0,9.0,6441.0,3555.0,979.0,559.0,1348.0,0.0,13017
22315.0,15796.0,9626.0,80.0,0.0,5929.0,161.0,6519.0,3431.0,1329.0,197.0,1562.0,0.0,13033
66131.0,50058.0,46075.0,326.0,0.0,3657.0,0.0,16073.0,6992.0,2808.0,2536.0,3737.0,0.0,13047
7161.0,1532.0,1007.0,0.0,0.0,525.0,0.0,5629.0,3428.0,1194.0,271.0,736.0,0.0,13053
23064.0,15549.0,12313.0,0.0,0.0,3236.0,0.0,7515.0,4130.0,884.0,1039.0,1435.0,27.0,13055
150231.0,120393.0,114763.0,906.0,76.0,4648.0,0.0,29838.0,21397.0,2696.0,4449.0,1292.0,4.0,13073
25496.0,14007.0,10988.0,20.0,5.0,2977.0,17.0,11489.0,6315.0,2079.0,706.0,2357.0,32.0,13087
93204.0,58423.0,53655.0,121.0,63.0,4584.0,0.0,34781.0,19572.0,6633.0,5014.0,3534.0,28.0,13115
227722.0,193414.0,189036.0,320.0,298.0,3656.0,104.0,34308.0,23006.0,1023.0,5420.0,4818.0,41.0,13117
42354.0,33354.0,28536.0,39.0,93.0,4686.0,0.0,9000.0,4756.0,761.0,736.0,2747.0,0.0,13137
24876.0,18085.0,13835.0,0.0,3.0,4245.0,2.0,6791.0,3660.0,337.0,400.0,2362.0,32.0,13147
111183.0,59988.0,53217.0,127.0,100.0,6464.0,80.0,51195.0,28946.0,6430.0,11686.0,4095.0,38.0,13185
14098.0,11221.0,7868.0,70.0,75.0,3196.0,12.0,2877.0,1062.0,268.0,401.0,1146.0,0.0,13191
20809.0,14528.0,12105.0,19.0,0.0,2364.0,40.0,6281.0,4149.0,285.0,895.0,952.0,0.0,13199
26087.0,21191.0,17548.0,33.0,0.0,3582.0,28.0,4896.0,1752.0,433.0,1143.0,1559.0,9.0,13207
21500.0,16247.0,10500.0,247.0,97.0,5403.0,0.0,5253.0,1688.0,41.0,1038.0,2486.0,0.0,13237
27975.0,15296.0,12644.0,54.0,230.0,2368.0,0.0,12679.0,6198.0,3003.0,1675.0,1803.0,0.0,13261
1607.0,1136.0,677.0,0.0,0.0,459.0,0.0,471.0,250.0,36.0,47.0,138.0,0.0,13265
5217.0,3174.0,1802.0,0.0,0.0,1372.0,0.0,2043.0,849.0,321.0,367.0,506.0,0.0,13301
6319.0,5237.0,4795.0,0.0,0.0,442.0,0.0,1082.0,738.0,229.0,18.0,97.0,0.0,19185
169095.0,122172.0,117881.0,743.0,963.0,2568.0,17.0,46923.0,21079.0,9380.0,15995.0,469.0,0.0,19163
5729.0,3876.0,3782.0,0.0,0.0,94.0,0.0,1853.0,1345.0,195.0,89.0,224.0,0.0,20181
7433.0,5385.0,5082.0,0.0,0.0,303.0,0.0,2048.0,1064.0,626.0,177.0,181.0,0.0,20193
5487.0,4478.0,4303.0,24.0,0.0,151.0,0.0,1009.0,672.0,51.0,174.0,112.0,0.0,20127
4862.0,3915.0,3826.0,2.0,0.0,87.0,0.0,947.0,760.0,80.0,99.0,8.0,0.0,20163
1963.0,1467.0,1338.0,10.0,0.0,119.0,0.0,496.0,346.0,42.0,36.0,72.0,0.0,20025
5442.0,3787.0,3679.0,4.0,0.0,101.0,3.0,1655.0,1366.0,169.0,101.0,19.0,0.0,20077
31813.0,20122.0,18926.0,78.0,25.0,1093.0,0.0,11691.0,6379.0,1636.0,3307.0,369.0,0.0,20111
5559.0,3904.0,3782.0,52.0,0.0,70.0,0.0,1655.0,1186.0,189.0,110.0,170.0,0.0,20145
1668.0,1369.0,1303.0,0.0,0.0,66.0,0.0,299.0,266.0,12.0,21.0,0.0,0.0,20033
2597.0,2017.0,1910.0,0.0,0.0,107.0,0.0,580.0,487.0,53.0,32.0,8.0,0.0,20063
33109.0,25044.0,24142.0,87.0,120.0,695.0,0.0,8065.0,5720.0,1159.0,963.0,223.0,0.0,20079
3842.0,2843.0,2333.0,0.0,0.0,510.0,0.0,999.0,713.0,89.0,18.0,179.0,0.0,20093
27213.0,20400.0,19319.0,65.0,72.0,911.0,33.0,6813.0,4329.0,1159.0,1068.0,250.0,7.0,20113
11625.0,7042.0,6196.0,23.0,22.0,800.0,1.0,4583.0,2557.0,739.0,650.0,630.0,7.0,05041
12048.0,9549.0,7938.0,0.0,0.0,1589.0,22.0,2499.0,1590.0,337.0,88.0,479.0,5.0,05049
13131.0,9422.0,8289.0,2.0,32.0,1099.0,0.0,3709.0,1741.0,841.0,217.0,910.0,0.0,05061
96426.0,65265.0,54902.0,936.0,365.0,9049.0,13.0,31161.0,16347.0,3986.0,5933.0,4895.0,0.0,05051
41324.0,23392.0,21456.0,233.0,37.0,1666.0,0.0,17932.0,10409.0,4475.0,2020.0,1014.0,14.0,05093
60337.0,42480.0,37619.0,63.0,7.0,4711.0,80.0,17857.0,9402.0,3982.0,2830.0,1616.0,27.0,05115
8052.0,5826.0,4403.0,0.0,0.0,1411.0,12.0,2226.0,1134.0,273.0,169.0,650.0,0.0,05117
38967.0,29562.0,23081.0,10.0,22.0,6443.0,6.0,9405.0,4938.0,1386.0,1398.0,1683.0,0.0,05139
6418.0,4260.0,3498.0,0.0,4.0,758.0,0.0,2158.0,1386.0,518.0,173.0,81.0,0.0,05147
24772.0,18322.0,14389.0,8.0,99.0,3751.0,75.0,6450.0,3913.0,903.0,235.0,1370.0,29.0,05023
8041.0,6230.0,4552.0,0.0,0.0,1678.0,0.0,1811.0,1047.0,137.0,48.0,579.0,0.0,05025
14363.0,10200.0,8500.0,0.0,0.0,1665.0,35.0,4163.0,2742.0,731.0,464.0,226.0,0.0,05067
21476.0,14835.0,11796.0,0.0,0.0,3026.0,13.0,6641.0,4294.0,676.0,501.0,1170.0,0.0,05057
16930.0,12860.0,10849.0,35.0,0.0,1975.0,1.0,4070.0,2264.0,739.0,274.0,793.0,0.0,05135
12335.0,9612.0,6968.0,0.0,51.0,2582.0,11.0,2723.0,1573.0,96.0,82.0,972.0,0.0,05137
224379.0,125434.0,117698.0,458.0,629.0,6500.0,149.0,98945.0,39310.0,20376.0,34924.0,4320.0,15.0,05143
41005.0,31203.0,27546.0,162.0,0.0,3465.0,30.0,9802.0,6030.0,1191.0,1355.0,1226.0,0.0,05005
20092.0,15899.0,12353.0,38.0,0.0,3508.0,0.0,4193.0,2967.0,466.0,292.0,468.0,0.0,05003
103526.0,60687.0,57014.0,128.0,192.0,3332.0,21.0,42839.0,20484.0,9158.0,10829.0,2340.0,28.0,05031
44230.0,29625.0,26214.0,18.0,9.0,3254.0,130.0,14605.0,8306.0,2614.0,1437.0,2248.0,0.0,05055
10187.0,7730.0,6049.0,3.0,0.0,1678.0,0.0,2457.0,1362.0,120.0,140.0,772.0,63.0,05105
23544.0,14992.0,13390.0,4.0,0.0,1556.0,42.0,8552.0,5359.0,1787.0,450.0,956.0,0.0,05111
16962.0,12433.0,9788.0,27.0,0.0,2618.0,0.0,4529.0,2889.0,364.0,120.0,1156.0,0.0,05133
5056.0,4235.0,2907.0,0.0,0.0,1328.0,0.0,821.0,602.0,30.0,44.0,145.0,0.0,05013
19800.0,11859.0,9161.0,40.0,0.0,2658.0,0.0,7941.0,4035.0,1263.0,1891.0,752.0,0.0,05019
16000.0,10830.0,9682.0,31.0,0.0,1095.0,22.0,5170.0,3493.0,568.0,589.0,520.0,0.0,05075
6971.0,4194.0,3647.0,14.0,0.0,533.0,0.0,2777.0,1449.0,884.0,271.0,173.0,0.0,05095
20666.0,14050.0,11353.0,8.0,0.0,2650.0,39.0,6616.0,4150.0,822.0,368.0,1271.0,5.0,05029
7745.0,6572.0,5787.0,40.0,0.0,735.0,10.0,1173.0,894.0,92.0,165.0,22.0,0.0,05101
17652.0,11837.0,10265.0,0.0,0.0,1566.0,6.0,5815.0,3319.0,1091.0,761.0,644.0,0.0,05001
71860.0,50608.0,43987.0,6.0,0.0,6573.0,42.0,21252.0,12278.0,3237.0,2086.0,3618.0,33.0,05085
27683.0,20579.0,17022.0,186.0,23.0,3348.0,0.0,7104.0,3682.0,1015.0,867.0,1415.0,125.0,05015
22598.0,12407.0,10074.0,58.0,0.0,2261.0,14.0,10191.0,5656.0,2143.0,1381.0,1008.0,3.0,05123
386386.0,233779.0,221173.0,692.0,1681.0,9984.0,249.0,152607.0,69492.0,18590.0,56930.0,7390.0,205.0,05119
265391.0,131571.0,124838.0,625.0,96.0,5872.0,140.0,133820.0,92163.0,18357.0,16398.0,6883.0,19.0,06047
16248.0,10976.0,9299.0,13.0,0.0,1630.0,34.0,5272.0,3050.0,364.0,410.0,1438.0,10.0,06043
8427.0,6072.0,5260.0,7.0,0.0,805.0,0.0,2355.0,1775.0,191.0,162.0,227.0,0.0,06049
1132322.0,748245.0,707881.0,11190.0,15656.0,13045.0,473.0,384077.0,203002.0,52338.0,123877.0,4615.0,245.0,06013
