B25033_001E,B25033_002E,B25033_003E,B25033_004E,B25033_005E,B25033_006E,B25033_007E,B25033_008E,B25033_009E,B25033_010E,B25033_011E,B25033_012E,B25033_013E,geoid
20740.0,15013.0,10797.0,0.0,0.0,4216.0,0.0,5727.0,2708.0,485.0,923.0,1611.0,0.0,01007
57131.0,45966.0,35782.0,3.0,0.0,10180.0,1.0,11165.0,5648.0,707.0,1030.0,3773.0,7.0,01009
10049.0,6869.0,4145.0,0.0,0.0,2724.0,0.0,3180.0,1097.0,657.0,315.0,1111.0,0.0,01011
20065.0,13984.0,10000.0,13.0,44.0,3927.0,0.0,6081.0,2525.0,1038.0,1179.0,1339.0,0.0,01013
113850.0,78054.0,67014.0,175.0,20.0,10792.0,53.0,35796.0,19333.0,4731.0,6618.0,5114.0,0.0,01015
33624.0,22260.0,17994.0,25.0,0.0,4224.0,17.0,11364.0,6430.0,1809.0,1648.0,1477.0,0.0,01017
25664.0,19919.0,15721.0,0.0,20.0,4064.0,114.0,5745.0,3042.0,516.0,394.0,1790.0,3.0,01019
43434.0,32565.0,21999.0,28.0,0.0,10509.0,29.0,10869.0,5370.0,724.0,792.0,3945.0,38.0,01021
13202.0,11027.0,7832.0,0.0,0.0,3188.0,7.0,2175.0,1273.0,89.0,297.0,516.0,0.0,01023
24745.0,17584.0,12329.0,7.0,0.0,5212.0,36.0,7161.0,3459.0,536.0,898.0,2268.0,0.0,01025
13270.0,9887.0,6966.0,0.0,0.0,2905.0,16.0,3383.0,1793.0,895.0,107.0,588.0,0.0,01027
14833.0,11376.0,8334.0,3.0,15.0,3001.0,23.0,3457.0,1541.0,582.0,459.0,875.0,0.0,01029
50270.0,34066.0,29093.0,54.0,0.0,4912.0,7.0,16204.0,10536.0,2099.0,1899.0,1668.0,2.0,01031
54005.0,38528.0,34744.0,68.0,55.0,3623.0,38.0,15477.0,9143.0,2824.0,1441.0,2069.0,0.0,01033
12818.0,9844.0,6664.0,0.0,19.0,3161.0,0.0,2974.0,1414.0,525.0,499.0,536.0,0.0,01035
10750.0,8429.0,5650.0,0.0,6.0,2767.0,6.0,2321.0,1120.0,207.0,69.0,925.0,0.0,01037
37288.0,27456.0,22335.0,0.0,5.0,5092.0,24.0,9832.0,5812.0,1187.0,778.0,2016.0,39.0,01039
13792.0,9694.0,6808.0,0.0,6.0,2854.0,26.0,4098.0,1979.0,751.0,224.0,1144.0,0.0,01041
79855.0,60909.0,49864.0,30.0,24.0,10963.0,28.0,18946.0,9108.0,2098.0,3304.0,4426.0,10.0,01043
48689.0,29064.0,23794.0,42.0,12.0,5206.0,10.0,19625.0,12116.0,2872.0,1528.0,3109.0,0.0,01045
41549.0,23351.0,17253.0,330.0,53.0,5709.0,6.0,18198.0,8550.0,5873.0,1887.0,1888.0,0.0,01047
70189.0,50944.0,40837.0,11.0,0.0,10058.0,38.0,19245.0,10774.0,2154.0,1188.0,5094.0,35.0,01049
75896.0,57526.0,49816.0,0.0,4.0,7638.0,68.0,18370.0,8702.0,1837.0,2917.0,4894.0,20.0,01051
35572.0,26557.0,21169.0,130.0,19.0,5198.0,41.0,9015.0,4049.0,1325.0,1895.0,1746.0,0.0,01053
102290.0,73431.0,65389.0,171.0,10.0,7725.0,136.0,28859.0,16718.0,3432.0,5448.0,3261.0,0.0,01055
16580.0,12457.0,9791.0,0.0,0.0,2660.0,6.0,4123.0,2066.0,752.0,527.0,778.0,0.0,01057
31337.0,20383.0,17737.0,0.0,0.0,2638.0,8.0,10954.0,6379.0,1650.0,1556.0,1369.0,0.0,01059
26572.0,19463.0,13814.0,23.0,0.0,5602.0,24.0,7109.0,4128.0,795.0,177.0,2002.0,7.0,01061
8641.0,6335.0,3806.0,0.0,0.0,2529.0,0.0,2306.0,793.0,31.0,849.0,633.0,0.0,01063
14997.0,11784.0,7249.0,0.0,0.0,4535.0,0.0,3213.0,1420.0,543.0,580.0,670.0,0.0,01065
17010.0,13269.0,10429.0,23.0,3.0,2814.0,0.0,3741.0,1922.0,720.0,186.0,913.0,0.0,01067
102560.0,65693.0,57339.0,96.0,24.0,8197.0,37.0,36867.0,19675.0,4786.0,6358.0,6037.0,11.0,01069
52203.0,39179.0,31896.0,2.0,26.0,7180.0,75.0,13024.0,6157.0,1822.0,1645.0,3400.0,0.0,01071
643298.0,416052.0,397010.0,1276.0,3182.0,14539.0,45.0,227246.0,101669.0,24997.0,93306.0,6909.0,365.0,01073
13925.0,10031.0,8087.0,0.0,39.0,1905.0,0.0,3894.0,1744.0,965.0,430.0,748.0,7.0,01075
90702.0,65183.0,57829.0,56.0,0.0,7151.0,147.0,25519.0,13316.0,3770.0,5607.0,2826.0,0.0,01077
33358.0,26604.0,20175.0,0.0,72.0,6352.0,5.0,6754.0,3384.0,581.0,902.0,1887.0,0.0,01079
145468.0,88336.0,71951.0,504.0,904.0,14917.0,60.0,57132.0,21327.0,8532.0,17441.0,9832.0,0.0,01081
84893.0,65016.0,59071.0,5.0,156.0,5686.0,98.0,19877.0,10450.0,2228.0,2428.0,4771.0,0.0,01083
10649.0,7750.0,4763.0,0.0,0.0,2985.0,2.0,2899.0,1604.0,719.0,120.0,456.0,0.0,01085
17917.0,11719.0,8509.0,4.0,0.0,3206.0,0.0,6198.0,3292.0,1067.0,833.0,1006.0,0.0,01087
338225.0,236569.0,223339.0,725.0,1335.0,11150.0,20.0,101656.0,46484.0,13819.0,35492.0,5798.0,63.0,01089
20076.0,14586.0,10731.0,4.0,2.0,3830.0,19.0,5490.0,2678.0,805.0,940.0,1067.0,0.0,01091
29696.0,23162.0,18416.0,16.0,12.0,4709.0,9.0,6534.0,2851.0,1432.0,642.0,1598.0,11.0,01093
93237.0,66264.0,56720.0,129.0,44.0,9333.0,38.0,26973.0,14636.0,3462.0,4048.0,4817.0,10.0,01095
404143.0,273250.0,249560.0,873.0,590.0,22157.0,70.0,130893.0,73413.0,13209.0,33845.0,10360.0,66.0,01097
21987.0,14923.0,11517.0,26.0,0.0,3336.0,44.0,7064.0,3287.0,592.0,777.0,2408.0,0.0,01099
220940.0,131463.0,124721.0,333.0,12.0,6389.0,8.0,89477.0,47385.0,12457.0,26703.0,2908.0,24.0,01101
117993.0,84348.0,74711.0,316.0,50.0,9206.0,65.0,33645.0,15642.0,4545.0,9159.0,4251.0,48.0,01103
9299.0,6102.0,4241.0,20.0,15.0,1826.0,0.0,3197.0,1414.0,811.0,541.0,431.0,0.0,01105
19182.0,13899.0,10583.0,17.0,0.0,3279.0,20.0,5283.0,2617.0,1247.0,697.0,722.0,0.0,01107
31216.0,19027.0,14657.0,1.0,14.0,4352.0,3.0,12189.0,4262.0,2579.0,2765.0,2583.0,0.0,01109
22202.0,16111.0,12759.0,18.0,0.0,3334.0,0.0,6091.0,3504.0,362.0,571.0,1652.0,2.0,01111
57672.0,34096.0,27887.0,319.0,0.0,5880.0,10.0,23576.0,11125.0,3698.0,6109.0,2644.0,0.0,01113
83894.0,67024.0,51373.0,5.0,48.0,15540.0,58.0,16870.0,8263.0,2150.0,1954.0,4503.0,0.0,01115
200660.0,161379.0,149477.0,247.0,178.0,11431.0,46.0,39281.0,16817.0,2538.0,14297.0,5629.0,0.0,01117
12552.0,8740.0,5708.0,0.0,0.0,3032.0,0.0,3812.0,991.0,512.0,1513.0,770.0,26.0,01119
78251.0,55963.0,42212.0,87.0,16.0,13585.0,63.0,22288.0,10986.0,4050.0,2385.0,4851.0,16.0,01121
40542.0,28153.0,22383.0,97.0,32.0,5641.0,0.0,12389.0,7149.0,2478.0,1145.0,1578.0,39.0,01123
190028.0,124378.0,106837.0,289.0,417.0,16783.0,52.0,65650.0,26278.0,9965.0,22930.0,6477.0,0.0,01125
65004.0,47904.0,35156.0,10.0,45.0,12658.0,35.0,17100.0,8623.0,1619.0,1588.0,5270.0,0.0,01127
16848.0,13868.0,9936.0,0.0,0.0,3932.0,0.0,2980.0,1974.0,105.0,86.0,806.0,9.0,01129
11001.0,8179.0,4382.0,0.0,0.0,3797.0,0.0,2822.0,1171.0,529.0,390.0,732.0,0.0,01131
23768.0,18163.0,12937.0,19.0,11.0,5196.0,0.0,5605.0,3121.0,703.0,259.0,1522.0,0.0,01133
1677.0,989.0,951.0,12.0,4.0,22.0,0.0,688.0,386.0,126.0,153.0,23.0,0.0,02013
4090.0,1335.0,1206.0,95.0,16.0,18.0,0.0,2755.0,805.0,729.0,1120.0,101.0,0.0,02016
290899.0,181396.0,156727.0,7108.0,4864.0,12561.0,136.0,109503.0,35432.0,35987.0,33664.0,4358.0,62.0,02020
17305.0,11994.0,11556.0,51.0,0.0,387.0,0.0,5311.0,3993.0,682.0,521.0,115.0,0.0,02050
943.0,532.0,492.0,21.0,16.0,3.0,0.0,411.0,218.0,81.0,102.0,10.0,0.0,02060
1594.0,1192.0,1109.0,9.0,0.0,74.0,0.0,402.0,274.0,80.0,23.0,7.0,18.0,02068
4798.0,3190.0,3133.0,37.0,0.0,20.0,0.0,1608.0,961.0,308.0,323.0,16.0,0.0,02070
95696.0,58316.0,53265.0,2079.0,649.0,2286.0,37.0,37380.0,17702.0,9522.0,9225.0,931.0,0.0,02090
2497.0,1730.0,1672.0,27.0,2.0,29.0,0.0,767.0,545.0,43.0,174.0,5.0,0.0,02100
2019.0,1342.0,1223.0,42.0,0.0,70.0,7.0,677.0,492.0,72.0,82.0,31.0,0.0,02105
31783.0,21313.0,17890.0,830.0,821.0,1762.0,10.0,10470.0,3226.0,2916.0,3284.0,975.0,69.0,02110
55306.0,40012.0,37779.0,434.0,195.0,1562.0,42.0,15294.0,8029.0,4189.0,2158.0,915.0,3.0,02122
13414.0,8360.0,6756.0,573.0,472.0,522.0,37.0,5054.0,1649.0,2004.0,1363.0,38.0,0.0,02130
13638.0,8420.0,7325.0,466.0,63.0,566.0,0.0,5218.0,1518.0,2058.0,1272.0,370.0,0.0,02150
7828.0,6403.0,6327.0,28.0,0.0,48.0,0.0,1425.0,1329.0,54.0,0.0,42.0,0.0,02158
1423.0,948.0,946.0,0.0,0.0,2.0,0.0,475.0,381.0,89.0,1.0,4.0,0.0,02164
94338.0,72529.0,69775.0,887.0,146.0,1678.0,43.0,21809.0,11487.0,6351.0,3064.0,875.0,32.0,02170
9527.0,5699.0,5556.0,90.0,10.0,43.0,0.0,3828.0,2645.0,483.0,659.0,41.0,0.0,02180
6430.0,3634.0,3561.0,72.0,0.0,1.0,0.0,2796.0,1898.0,540.0,342.0,5.0,11.0,02185
7563.0,4583.0,4456.0,60.0,0.0,67.0,0.0,2980.0,1753.0,487.0,690.0,50.0,0.0,02188
3077.0,2247.0,1980.0,15.0,11.0,241.0,0.0,830.0,354.0,196.0,202.0,78.0,0.0,02195
6278.0,4487.0,3654.0,9.0,7.0,772.0,45.0,1791.0,1093.0,288.0,192.0,199.0,19.0,02198
8631.0,5447.0,4158.0,406.0,34.0,837.0,12.0,3184.0,1251.0,1182.0,496.0,244.0,11.0,02220
874.0,530.0,474.0,14.0,3.0,39.0,0.0,344.0,173.0,108.0,41.0,22.0,0.0,02230
6589.0,4523.0,4275.0,33.0,0.0,215.0,0.0,2066.0,1461.0,304.0,223.0,78.0,0.0,02240
9321.0,6778.0,5407.0,192.0,135.0,1034.0,10.0,2543.0,834.0,650.0,611.0,448.0,0.0,02261
2339.0,1610.0,1268.0,29.0,14.0,299.0,0.0,729.0,311.0,193.0,162.0,63.0,0.0,02275
579.0,333.0,323.0,0.0,0.0,9.0,1.0,246.0,125.0,33.0,42.0,46.0,0.0,02282
5570.0,3983.0,3938.0,0.0,11.0,34.0,0.0,1587.0,1441.0,81.0,21.0,44.0,0.0,02290
70737.0,53490.0,39907.0,0.0,43.0,13415.0,125.0,17247.0,10859.0,2600.0,1323.0,2446.0,19.0,04001
118003.0,78873.0,59641.0,286.0,6.0,18131.0,809.0,39130.0,21859.0,2884.0,7879.0,6498.0,10.0,04003
126040.0,76691.0,61208.0,198.0,286.0,14786.0,213.0,49349.0,22028.0,7016.0,15440.0,4865.0,0.0,04005
52189.0,36905.0,28547.0,162.0,32.0,8007.0,157.0,15284.0,8391.0,1348.0,1311.0,4057.0,177.0,04007
33101.0,22861.0,17184.0,22.0,0.0,5541.0,114.0,10240.0,5829.0,791.0,1115.0,2468.0,37.0,04009
8940.0,3692.0,1982.0,0.0,0.0,1671.0,39.0,5248.0,4457.0,129.0,24.0,601.0,37.0,04011
20044.0,14673.0,7070.0,0.0,18.0,5432.0,2153.0,5371.0,2504.0,170.0,426.0,2115.0,156.0,04012
3966987.0,2399261.0,2243570.0,15163.0,30545.0,106728.0,3255.0,1567726.0,837706.0,159680.0,523713.0,45763.0,864.0,04013
196644.0,124726.0,91421.0,279.0,567.0,31921.0,538.0,71918.0,40596.0,7788.0,7374.0,15656.0,504.0,04015
105154.0,71539.0,55693.0,137.0,80.0,15290.0,339.0,33615.0,20474.0,3390.0,3108.0,6623.0,20.0,04017
